,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,211,260,0,0,211,0,0,0,0,0,49,0,5,343,1
1,test,332,348,5,0,327,0,0,0,0,0,16,0,0,260,123
