,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,78,85,0,0,78,0,0,0,0,0,7,0,1,1768,1
1,DownloadMavenDownloadwithdefaultJDKbecauseOpenJDK6doesnotsupportTLS12,0,0,0,0,0,0,0,0,0,0,0,0,1,1853,4
2,SetupJDK6,0,0,0,0,0,0,0,0,0,0,0,0,1,1853,3
3,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,1,1853,6
4,Buildandverify,1697,1769,1,0,1696,0,0,0,0,0,72,0,0,85,30
