,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,37,41,0,0,37,0,0,0,0,0,4,0,0,60,2
1,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,0,101,8
2,CacheSonarCloudpackages,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0
3,CacheMavenpackages,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1
4,Buildandanalyze,59,60,0,0,59,0,0,0,0,0,1,0,0,41,-64833
