,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,200,245,0,0,200,0,0,0,0,0,45,0,0,0,2
1,test,0,0,0,0,0,0,0,0,0,0,0,0,0,245,17
2,checkformatting,0,0,0,0,0,0,0,0,0,0,0,0,0,245,1
