,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,110,139,0,0,110,0,0,0,0,0,29,0,0,0,1
1,SetupPython,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0
2,test,0,0,0,0,0,0,0,0,0,0,0,0,0,139,20
3,checkformatting,0,0,0,0,0,0,0,0,0,0,0,0,0,139,2
