,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,209,274,0,0,209,0,0,0,0,0,65,0,0,18415,1
1,test,18402,18415,0,0,18402,0,0,0,0,0,13,0,0,274,277
