,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,15,18,0,0,15,0,0,0,0,0,3,0,0,127,1
1,SetupMavenCentralRepository,0,0,0,0,0,0,0,0,0,0,0,0,0,145,6
2,RuntheMavenverifyphase,124,127,0,0,124,0,0,0,0,0,3,0,0,18,16
