,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,16,19,0,0,16,0,0,0,0,0,3,0,0,1744,2
1,uses-setup-java,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,10
2,BuildwithMaven,1742,1744,0,0,1742,0,0,0,0,0,2,0,0,19,26
