,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,508,577,0,0,508,0,0,0,0,0,69,0,0,0,2
1,DownloadMavenDownloadwithdefaultJDKbecauseOpenJDK6doesnotsupportTLS12,0,0,0,0,0,0,0,0,0,0,0,0,0,577,2
2,SetupJDK6,0,0,0,0,0,0,0,0,0,0,0,0,0,577,3
3,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,0,577,2
