,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,1034,1116,0,0,1031,0,0,3,0,0,85,0,0,2609,3
1,UseJavamatrixjavaversion,0,0,0,0,0,0,0,0,0,0,0,0,0,3728,7
2,BuildandtestJavamatrixjavaversion,2555,2612,0,0,2555,0,0,0,0,0,57,0,0,1116,292
