,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,195,243,0,0,195,0,0,0,0,0,48,0,0,17132,1
1,test,17131,17132,0,0,17131,0,0,0,0,0,1,0,0,243,29
