,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,324,227,0,0,214,0,0,110,0,0,13,0,190,355,2
1,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,190,692,8
2,uses-cache,0,0,0,0,0,0,0,0,0,0,0,0,190,692,14
3,Grantexecutepermissionforgradlew,0,0,0,0,0,0,0,0,0,0,0,0,190,692,0
4,BuildwithGradle,479,655,188,0,291,0,0,0,2,0,174,0,0,227,1008
5,Checkproceduresincludedinapocfull,0,0,0,0,0,0,0,0,0,0,0,0,190,692,1
6,Archivetestresults,0,0,0,0,0,0,0,0,0,0,0,0,190,692,22
