,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,16387,17031,0,0,16387,0,0,0,0,0,644,0,3544,2559,8
1,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,3544,19590,3
2,Build,6078,1190,0,0,1189,3532,3,1354,0,0,1,7,2,17046,64
3,ExtractprojectMavenversion,0,0,0,0,0,0,0,0,0,0,0,0,3544,19590,6
4,Deploysnapshot,13,4913,2,7,4,0,0,0,3,3532,1365,0,0,18221,20
