,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,19,21,0,0,19,0,0,0,0,0,2,0,321,1543,1
1,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,321,1564,1
2,Mavenversion,0,0,0,0,0,0,0,0,0,0,0,0,321,1564,1
3,Mavenbuild,342,342,320,0,22,0,0,0,0,0,0,0,1,1542,40
4,Website,1234,1522,1,0,1233,0,0,0,0,0,288,0,320,43,8
