,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,3949,4436,0,0,3949,0,0,0,0,0,487,0,11,450,2
1,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,11,4886,7
2,MavenSite,452,461,11,0,441,0,0,0,0,0,9,0,0,4436,67
