,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,34,42,0,0,34,0,0,0,0,0,8,0,0,2023,1
1,SetupJavamatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,0,2065,0
2,BuildwithMaven,1979,2023,0,0,1979,0,0,0,0,0,44,0,0,42,107
