,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,212,283,0,0,212,0,0,0,0,0,71,0,0,0,2
1,uses-setup-ruby,0,0,0,0,0,0,0,0,0,0,0,0,0,283,2
2,test,0,0,0,0,0,0,0,0,0,0,0,0,0,283,13
