,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,3926,4392,0,0,3926,0,0,0,0,0,466,0,0,172,2
1,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,0,4564,11
2,MavenInstallskipTests,172,172,0,0,172,0,0,0,0,0,0,0,0,4392,66
