,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,1253,1358,0,0,1253,0,0,0,0,0,105,0,0,2897,3
1,UseJava8,0,0,0,0,0,0,0,0,0,0,0,0,0,4255,3
2,Stylecheck,2,2,0,0,2,0,0,0,0,0,0,0,0,4253,19
3,Licensecheck,2895,2895,0,0,2895,0,0,0,0,0,0,0,0,1360,8
