,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,201,251,0,0,201,0,0,0,0,0,50,0,0,23,0
1,Setupjava,0,0,0,0,0,0,0,0,0,0,0,0,0,274,1
2,test,23,23,0,0,23,0,0,0,0,0,0,0,0,251,61
