,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkoutrepository,8,12,0,0,8,0,0,0,0,0,4,0,0,168,2
1,InitializeCodeQL,0,0,0,0,0,0,0,0,0,0,0,0,0,180,9
2,Autobuild,168,168,0,0,168,0,0,0,0,0,0,0,0,12,366
3,PerformCodeQLAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,180,64
